sensor_id;sensor_type;location;lat;lon;timestamp;temperature;humidity
48206;DHT22;33995;48.202;16.260;2025-06-01T00:00:05;18.50;99.90
792;DHT22;379;49.022;12.148;2025-06-01T00:00:05;18.70;99.90
48836;DHT22;62581;47.342;7.908;2025-06-01T00:00:05;18.80;99.90
2010;DHT22;1008;47.404;8.502;2025-06-01T00:00:05;19.00;99.90
19813;DHT22;10066;48.108;11.448;2025-06-01T00:00:05;19.10;99.90
93132;DHT22;85451;51.206;3.234;2025-06-01T00:00:05;19.20;56.70
11963;DHT22;62678;52.130;5.584;2025-06-01T00:00:05;19.20;99.90
7708;DHT22;3896;48.758;8.888;2025-06-01T00:00:05;19.50;93.80
24772;DHT22;12870;52.274;9.754;2025-06-01T00:00:05;19.70;1.00
24164;DHT22;12319;49.204;8.116;2025-06-01T00:00:05;20.10;82.90
62908;DHT22;49005;51.10673465;3.70933682;2025-06-01T00:00:05;20.20;98.50
68764;DHT22;55754;52.03860371;5.56663299;2025-06-01T00:00:05;20.40;99.90
2539;DHT22;1280;49.760;9.664;2025-06-01T00:00:05;20.80;75.30
34682;DHT22;21619;45.67282536;11.48801386;2025-06-01T00:00:05;21.00;99.90
27384;DHT22;14851;51.166;4.760;2025-06-01T00:00:05;21.10;99.90
13412;DHT22;67102;51.666;6.880;2025-06-01T00:00:05;21.30;99.90
17348;DHT22;8791;50.876;4.342;2025-06-01T00:00:05;22.10;1.00
15983;DHT22;14442;50.196;8.096;2025-06-01T00:00:05;22.90;58.00
72311;DHT22;60258;50.89890640;12.07752010;2025-06-01T00:00:05;23.10;56.80
30120;DHT22;16934;53.20857200;6.79659748;2025-06-01T00:00:05;23.30;80.80
9919;DHT22;4998;51.024;13.828;2025-06-01T00:00:05;24.80;61.70
7900;DHT22;3995;50.856;4.404;2025-06-01T00:00:05;24.80;63.00
85926;DHT22;80503;46.752;13.608;2025-06-01T00:00:05;28.60;42.60
36696;DHT22;22680;53.97473598;18.53600085;2025-06-01T00:00:06;10.40;99.90
85394;DHT22;75807;42.60368353;23.46845984;2025-06-01T00:00:06;10.96;85.83
7598;DHT22;3840;59.32098800;18.06423600;2025-06-01T00:00:06;11.10;99.90
2687;DHT22;1353;51.386;7.028;2025-06-01T00:00:06;14.80;99.90
6311;DHT22;3188;53.658;10.068;2025-06-01T00:00:06;15.30;99.90
65038;DHT22;79659;47.04066690;15.29397190;2025-06-01T00:00:06;15.80;99.90
91186;DHT22;83617;52.29370130;16.97497310;2025-06-01T00:00:06;16.30;69.90
24814;DHT22;12904;50.088;11.414;2025-06-01T00:00:06;16.50;99.90
65566;DHT22;77197;51.14496772;3.11371744;2025-06-01T00:00:06;16.90;99.90
26037;DHT22;13810;48.376;10.944;2025-06-01T00:00:06;17.60;99.90
6788;DHT22;3431;47.966;10.268;2025-06-01T00:00:06;17.60;99.90
23744;DHT22;12052;53.478;10.182;2025-06-01T00:00:06;17.70;99.90
65580;DHT22;52229;49.88270490;8.67252260;2025-06-01T00:00:06;18.10;99.90
24500;DHT22;12663;51.96411500;8.92720400;2025-06-01T00:00:06;18.20;99.90
43518;DHT22;34015;51.96610980;5.89297740;2025-06-01T00:00:06;18.40;99.90
19652;DHT22;9974;52.146;14.668;2025-06-01T00:00:06;18.50;99.90
30889;DHT22;77275;50.87323235;7.02363539;2025-06-01T00:00:06;18.70;99.90
15481;DHT22;7842;50.90449900;6.66961700;2025-06-01T00:00:06;18.80;99.90
23511;DHT22;48740;48.32791011;-1.84074640;2025-06-01T00:00:06;18.80;99.90
69189;DHT22;56302;52.322;5.926;2025-06-01T00:00:06;18.90;84.30
2647;DHT22;1333;50.958;6.770;2025-06-01T00:00:06;19.10;99.90
32877;DHT22;19226;51.600;8.034;2025-06-01T00:00:06;19.10;99.90
86841;DHT22;77658;53.338;6.002;2025-06-01T00:00:06;19.26;82.29
46269;DHT22;31999;48.19429175;11.45835614;2025-06-01T00:00:06;19.80;92.70
3942;DHT22;1985;48.592;8.850;2025-06-01T00:00:06;19.80;99.90
9448;DHT22;4762;48.128;11.376;2025-06-01T00:00:06;19.90;62.30
30103;DHT22;16919;50.75293873;4.16514337;2025-06-01T00:00:06;20.20;99.90
19728;DHT22;10015;52.530;13.390;2025-06-01T00:00:06;20.30;99.90
6142;DHT22;71289;51.552;6.210;2025-06-01T00:00:06;20.60;99.90
85911;DHT22;76450;47.06075389;15.43085307;2025-06-01T00:00:06;20.80;95.30
11532;DHT22;5822;51.000;5.874;2025-06-01T00:00:06;21.00;99.90
32536;DHT22;18974;50.838;4.636;2025-06-01T00:00:06;21.00;99.90
23715;DHT22;12036;50.858;4.472;2025-06-01T00:00:06;21.20;99.90
15574;DHT22;7888;46.748;8.102;2025-06-01T00:00:06;22.00;51.60
26304;DHT22;70693;48.680;8.890;2025-06-01T00:00:06;22.90;93.10
27407;DHT22;62051;50.82516969;4.40346837;2025-06-01T00:00:06;23.20;99.10
15844;DHT22;50807;52.436;13.346;2025-06-01T00:00:06;23.30;74.30
25504;DHT22;13410;52.114;5.718;2025-06-01T00:00:06;23.70;99.90
50957;DHT22;55361;50.876;20.634;2025-06-01T00:00:06;25.65;83
20091;DHT22;10205;49.678;6.560;2025-06-01T00:00:06;25.90;55.30
88717;DHT22;79980;42.65409013;23.41163456;2025-06-01T00:00:07;12.11;83.99
70382;DHT22;57951;42.73368698;24.25173669;2025-06-01T00:00:07;13.00;90.10
93451;DHT22;85880;47.60897860;21.60801060;2025-06-01T00:00:07;15.61;82.36
530;DHT22;80617;48.70380620;9.21000060;2025-06-01T00:00:07;15.90;99.90
26575;DHT22;67165;50.256;10.978;2025-06-01T00:00:07;16.50;98.00
45983;DHT22;31711;47.158;7.346;2025-06-01T00:00:07;16.50;99.90
2723;DHT22;1369;53.216;10.396;2025-06-01T00:00:07;16.60;99.90
76099;DHT22;64828;49.956;8.636;2025-06-01T00:00:07;16.80;99.90
67627;DHT22;54429;52.22467400;6.00633530;2025-06-01T00:00:07;16.9;100.0
